NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 1 (118th Congress), North Carolina",754008,299808,360076,7353,42286,549894,131065,316020,167295,75410,296203,270690,37,01
"Congressional District 2 (118th Congress), North Carolina",784882,141848,440556,83774,31352,577139,55282,322675,63839,190723,316689,306203,37,02
"Congressional District 3 (118th Congress), North Carolina",768524,126127,508584,11225,74863,479975,111575,313014,156834,88674,296358,277742,37,03
"Congressional District 4 (118th Congress), North Carolina",769250,187338,415385,32741,32212,585833,80375,314882,109209,133900,304954,294223,37,04
"Congressional District 5 (118th Congress), North Carolina",750316,91072,558136,9825,36734,568086,104206,318336,140166,110049,301103,281190,37,05
"Congressional District 6 (118th Congress), North Carolina",765747,233773,393643,31753,39609,556312,107035,310568,133187,108340,298252,280898,37,06
"Congressional District 7 (118th Congress), North Carolina",794214,136863,506600,10604,55880,573945,118454,332244,143515,117676,318376,299685,37,07
"Congressional District 8 (118th Congress), North Carolina",776092,98416,541468,19039,39154,559978,95157,296245,154725,99747,285028,270542,37,08
"Congressional District 9 (118th Congress), North Carolina",771994,179650,450570,14124,65275,486721,114626,303030,139089,98598,292124,270784,37,09
"Congressional District 10 (118th Congress), North Carolina",774062,73176,595958,18053,40045,571424,97811,311401,164695,98525,295494,279688,37,10
"Congressional District 11 (118th Congress), North Carolina",763974,24858,640994,7400,47607,582393,95190,317906,147584,129842,300004,279599,37,11
"Congressional District 12 (118th Congress), North Carolina",772165,271171,306070,43908,34337,561390,76809,300149,98875,135945,293288,283864,37,12
"Congressional District 13 (118th Congress), North Carolina",799277,162004,484642,24519,44782,560513,76556,303730,119341,148662,295243,281502,37,13
"Congressional District 14 (118th Congress), North Carolina",790986,156900,447183,46914,31304,578147,85161,332469,93360,182550,323553,309475,37,14
"Congressional District (at Large) (118th Congress), North Dakota",783926,24479,647059,11814,43053,551126,73841,338059,126581,121205,322381,297384,38,00
"Congressional District 1 (118th Congress), Ohio",796831,134339,545824,33436,32428,583116,94788,337195,115971,148947,323163,306028,39,01
"Congressional District 2 (118th Congress), Ohio",787945,12916,727938,3791,46495,569068,112056,318330,227094,75720,298837,279658,39,02
"Congressional District 3 (118th Congress), Ohio",784597,219504,424692,45508,27721,583366,125947,337715,114830,140763,329107,319326,39,03
"Congressional District 4 (118th Congress), Ohio",803311,31168,688696,27079,40828,578656,84153,317894,201316,98286,300384,284944,39,04
"Congressional District 5 (118th Congress), Ohio",790574,26861,678074,8234,43825,574469,83584,323312,195150,84918,308601,293248,39,05
"Congressional District 6 (118th Congress), Ohio",773456,40469,669394,4025,44769,574606,118975,333103,228448,76633,306276,285256,39,06
"Congressional District 7 (118th Congress), Ohio",769701,24289,669096,23687,37288,569944,60489,317645,159274,128742,301906,291197,39,07
"Congressional District 8 (118th Congress), Ohio",786259,103015,585930,21928,41127,558447,82669,311076,170668,101618,300277,286530,39,08
"Congressional District 9 (118th Congress), Ohio",776106,90509,593432,12501,36353,570697,107827,335877,180193,90251,319631,299192,39,09
"Congressional District 13 (118th Congress), Ohio",781848,91399,596969,27387,36957,580620,95417,335536,159125,124361,322314,306248,39,13
"Congressional District 10 (118th Congress), Ohio",784462,125873,562706,16813,54418,551092,109895,339246,148038,100680,324582,308723,39,10
"Congressional District 11 (118th Congress), Ohio",772345,333575,328618,22898,27645,586207,155618,354317,146912,98482,333571,308631,39,11
"Congressional District 12 (118th Congress), Ohio",804132,31105,702704,17232,40714,579904,96436,304104,189986,91309,281556,266790,39,12
"Congressional District 14 (118th Congress), Ohio",784185,41698,681633,8074,45688,582035,104814,329557,199052,99137,311943,297872,39,14
"Congressional District 15 (118th Congress), Ohio",790183,100671,574021,30165,38279,563349,95236,322402,161930,118555,313297,300731,39,15
"Congressional District 1 (118th Congress), Oklahoma",812132,67158,500070,29146,42540,569080,115163,323395,137627,117879,312548,295652,40,01
"Congressional District 2 (118th Congress), Oklahoma",811280,25688,516400,6853,47085,574279,150039,316474,206315,73152,295765,268802,40,02
"Congressional District 3 (118th Congress), Oklahoma",803437,40188,526557,8755,37741,558491,145995,300670,176674,76566,284703,263383,40,03
"Congressional District 4 (118th Congress), Oklahoma",808026,55734,547896,20551,58309,554622,116157,317822,170255,89100,306086,285955,40,04
"Congressional District 5 (118th Congress), Oklahoma",818949,85263,529667,29497,50850,573039,98831,330744,129693,142146,320053,305591,40,05
"Congressional District 1 (118th Congress), Oregon",710371,19175,468825,73552,33541,545736,72123,310113,84967,151049,303767,291786,41,01
"Congressional District 2 (118th Congress), Oregon",704844,4545,556497,6548,48446,506807,104539,289071,153536,77936,276038,259062,41,02
"Congressional District 3 (118th Congress), Oregon",681430,34853,454988,46942,26681,523528,79017,284314,97708,136146,276428,266627,41,03
"Congressional District 4 (118th Congress), Oregon",710184,7169,569264,19363,48121,541477,104993,305073,117171,93806,295036,279838,41,04
"Congressional District 5 (118th Congress), Oregon",709945,12568,573562,23350,36810,528788,66435,287486,109213,135139,278780,269347,41,05
"Congressional District 6 (118th Congress), Oregon",716584,9096,504062,24636,39054,521749,79437,275993,110108,121857,269285,257520,41,06
"Congressional District 1 (118th Congress), Pennsylvania",763720,25927,613534,45589,33861,578103,49173,293949,153979,147568,285056,277810,42,01
"Congressional District 2 (118th Congress), Pennsylvania",713964,192518,263340,68188,19494,527342,144402,294824,171422,80293,281811,266473,42,02
"Congressional District 3 (118th Congress), Pennsylvania",768800,383997,255172,49510,21353,604822,145107,362808,136798,128956,344506,324515,42,03
"Congressional District 4 (118th Congress), Pennsylvania",781948,72817,588246,47227,30494,584493,51835,300674,132632,151802,290861,282479,42,04
"Congressional District 5 (118th Congress), Pennsylvania",757986,178648,446064,53555,27203,566872,89504,292198,142127,121537,283824,274148,42,05
"Congressional District 6 (118th Congress), Pennsylvania",777885,37745,549176,41957,28371,575588,68811,291470,125350,152278,281640,272764,42,06
"Congressional District 7 (118th Congress), Pennsylvania",778593,42740,531123,26493,36468,581651,84635,305762,186812,107903,291198,276631,42,07
"Congressional District 8 (118th Congress), Pennsylvania",764570,54465,563275,16370,39125,576680,112957,310244,198184,93251,290066,275396,42,08
"Congressional District 9 (118th Congress), Pennsylvania",765968,18416,670660,8129,47124,565772,83656,314774,235679,80910,291480,274448,42,09
"Congressional District 10 (118th Congress), Pennsylvania",781862,84060,556830,39195,41229,569968,75707,318309,175750,121467,301998,288164,42,10
"Congressional District 11 (118th Congress), Pennsylvania",773134,26355,640510,15382,36442,562328,62548,297329,189105,104067,278291,264598,42,11
"Congressional District 12 (118th Congress), Pennsylvania",752466,110250,556597,31424,35027,585937,107939,341091,148688,128799,323606,309685,42,12
"Congressional District 13 (118th Congress), Pennsylvania",765875,16458,689020,5324,49944,561926,84705,312432,241490,73586,286911,269825,42,13
"Congressional District 14 (118th Congress), Pennsylvania",753602,23219,689079,5792,41650,573466,93303,324689,224954,90875,299837,281845,42,14
"Congressional District 15 (118th Congress), Pennsylvania",750180,15856,688737,12689,45138,571186,100673,315356,221023,79181,291632,269374,42,15
"Congressional District 16 (118th Congress), Pennsylvania",761148,32043,672587,9446,43344,566743,89668,320345,207113,101521,300857,284110,42,16
"Congressional District 17 (118th Congress), Pennsylvania",749982,52694,620186,23110,37755,562482,56336,327955,142964,157495,310304,300139,42,17
"Congressional District 1 (118th Congress), Rhode Island",536470,33370,350835,19645,17606,414912,59369,220650,103537,84843,210412,200315,44,01
"Congressional District 2 (118th Congress), Rhode Island",559492,26344,412658,17774,21944,433943,55043,223330,104013,97211,214903,208510,44,02
"Congressional District 1 (118th Congress), South Carolina",776842,143999,543033,12128,65605,528852,62049,317895,121793,152711,309885,294608,45,01
"Congressional District 2 (118th Congress), South Carolina",755004,187784,464383,16041,58150,518749,94342,301686,137238,110491,289071,274811,45,02
"Congressional District 3 (118th Congress), South Carolina",768137,127127,557942,7076,43108,557499,113357,308468,169610,86189,290764,270581,45,03
