NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 5 (118th Congress), Arizona",857744,27403,596525,55071,43173,597660,47982,306737,112313,145326,302654,290715,04,05
"Congressional District 6 (118th Congress), Arizona",813933,30107,545839,23965,79523,578073,88224,355180,120610,134145,344830,328232,04,06
"Congressional District 7 (118th Congress), Arizona",811832,30962,309222,15698,36349,580970,140823,296600,142619,72805,284303,266868,04,07
"Congressional District 8 (118th Congress), Arizona",800203,31864,551434,35419,54845,582066,74483,323320,141389,117702,313494,300037,04,08
"Congressional District 9 (118th Congress), Arizona",881306,41525,549746,18799,71502,614569,92197,332198,185571,93744,322931,310843,04,09
"Congressional District 1 (118th Congress), Arkansas",752628,119445,562117,5623,42337,536779,131569,302804,197095,64342,283123,261330,05,01
"Congressional District 2 (118th Congress), Arkansas",774027,162676,527635,12943,42926,552723,104535,316010,157729,104430,305268,283867,05,02
"Congressional District 3 (118th Congress), Arkansas",797092,19552,495071,27865,37580,568611,85058,305681,152414,106783,297035,280965,05,03
"Congressional District 4 (118th Congress), Arkansas",743985,139143,527320,5272,41332,538683,145462,308376,202992,70281,285619,252762,05,04
"Congressional District 1 (118th Congress), California",755464,13909,485552,46055,39835,540941,119881,290952,129068,79338,279226,266063,06,01
"Congressional District 2 (118th Congress), California",743918,12476,497396,31928,28413,571158,75226,298256,98457,139611,289301,279853,06,02
"Congressional District 3 (118th Congress), California",788130,14393,548478,71996,43494,582694,56923,311995,102426,156940,304656,292259,06,03
"Congressional District 4 (118th Congress), California",761543,25326,420918,71914,33769,576976,88250,285194,109984,110321,277429,266330,06,04
"Congressional District 5 (118th Congress), California",782849,21346,474330,47629,36989,576071,76691,294732,129557,110104,287186,274835,06,05
"Congressional District 6 (118th Congress), California",747786,69339,361326,88871,33049,543972,89691,275764,128998,105204,266629,256898,06,06
"Congressional District 7 (118th Congress), California",762568,75262,262636,181798,29093,562619,93123,267481,102800,118624,260770,248434,06,07
"Congressional District 8 (118th Congress), California",752009,101174,195221,143826,29888,560864,82082,262450,127596,104225,255875,244975,06,08
"Congressional District 9 (118th Congress), California",770568,56246,250447,139521,23794,547706,95054,242737,138541,79981,235808,225379,06,09
"Congressional District 10 (118th Congress), California",746449,36680,365812,171385,24331,555337,47048,273768,69040,182747,270230,265514,06,10
"Congressional District 11 (118th Congress), California",701735,33499,300729,229021,15346,596201,85866,337775,59104,202240,326083,310877,06,11
"Congressional District 12 (118th Congress), California",734171,108979,250759,152401,14833,593328,94086,302836,76779,144956,293675,277426,06,12
"Congressional District 13 (118th Congress), California",784322,19987,205564,56674,18290,541033,137741,226522,140546,46919,207073,198063,06,13
"Congressional District 14 (118th Congress), California",725962,39404,197193,293511,14684,552274,49342,248627,95864,143724,244608,238952,06,14
"Congressional District 15 (118th Congress), California",721009,19465,217274,278481,14828,570808,56890,257570,84241,157671,250360,245729,06,15
"Congressional District 16 (118th Congress), California",748899,11906,323305,236987,14358,570930,52784,271845,58375,157006,266121,258964,06,16
"Congressional District 17 (118th Congress), California",744019,19104,159798,435958,13531,595438,46699,276769,63484,170649,273532,267476,06,17
"Congressional District 18 (118th Congress), California",743048,14481,178140,80123,15574,542464,92885,216372,113450,74832,208795,201019,06,18
"Congressional District 19 (118th Congress), California",725878,16137,362741,145180,25958,560814,64735,271331,75772,138849,266908,258632,06,19
"Congressional District 20 (118th Congress), California",794847,27316,419834,68407,39159,535745,91652,276897,126931,94589,268267,257260,06,20
"Congressional District 21 (118th Congress), California",749912,30181,207754,71198,18131,516567,154862,230335,120441,50300,214610,201187,06,21
"Congressional District 22 (118th Congress), California",774942,35746,205115,26311,16418,525479,170581,216780,133409,30274,206850,194721,06,22
"Congressional District 23 (118th Congress), California",768047,71819,341438,35129,38335,524361,114512,259438,146173,64900,249434,239109,06,23
"Congressional District 24 (118th Congress), California",761285,11916,423957,40103,28817,579197,108436,277419,81313,118536,269453,258081,06,24
"Congressional District 25 (118th Congress), California",779900,26431,218670,25177,30555,553127,111756,250397,143076,59539,240208,226584,06,25
"Congressional District 26 (118th Congress), California",739517,15102,372401,58092,27070,543949,62326,247844,95539,123066,241569,234899,06,26
"Congressional District 27 (118th Congress), California",736850,70091,283789,83139,25204,526657,77803,237438,107437,97623,231231,224547,06,27
"Congressional District 28 (118th Congress), California",746863,25432,211339,286040,16406,587392,73575,271305,90580,156242,265874,256034,06,28
"Congressional District 29 (118th Congress), California",719359,31229,180391,53524,10427,554133,113495,234850,126854,91079,226920,220775,06,29
"Congressional District 30 (118th Congress), California",745825,32298,423362,94779,13370,625167,101287,345310,85558,195649,336364,325231,06,30
"Congressional District 31 (118th Congress), California",717084,20267,149837,139825,16651,547353,86714,216767,125022,84716,209502,202788,06,31
"Congressional District 32 (118th Congress), California",760602,35183,396315,108742,16210,603990,83994,302443,77406,179499,297469,291216,06,32
"Congressional District 33 (118th Congress), California",763598,67222,175097,56570,19278,536657,106300,220734,149298,68163,214687,205102,06,33
"Congressional District 34 (118th Congress), California",714948,31081,119958,128402,9705,572288,140197,272767,109132,107090,259774,242700,06,34
"Congressional District 35 (118th Congress), California",749769,47439,143815,100564,16736,553642,85372,221847,139304,84766,217209,210726,06,35
"Congressional District 36 (118th Congress), California",742266,31375,417544,132308,19504,594444,59007,323832,49577,208910,316676,308134,06,36
"Congressional District 37 (118th Congress), California",735660,160987,120145,53456,9710,574905,140710,261217,89472,89446,252644,237607,06,37
"Congressional District 38 (118th Congress), California",723495,18607,144277,158980,17169,552699,75927,226907,134378,103335,220543,213856,06,38
"Congressional District 39 (118th Congress), California",767217,64305,195293,47133,21830,555147,98409,216143,153443,64904,210626,200391,06,39
"Congressional District 40 (118th Congress), California",755867,18988,373683,152897,23624,572088,57040,268785,83955,168134,265751,258329,06,40
"Congressional District 41 (118th Congress), California",811664,46151,365127,64114,39431,592080,84160,277163,141490,114771,270659,257780,06,41
"Congressional District 42 (118th Congress), California",711011,40197,203728,52162,14060,552882,98634,245115,112370,85864,237428,227413,06,42
"Congressional District 43 (118th Congress), California",716670,150313,85397,62330,14025,541656,113064,235329,118796,75031,227406,216133,06,43
"Congressional District 44 (118th Congress), California",737874,71888,159795,84284,17763,555954,110682,233890,126533,80694,226344,215343,06,44
"Congressional District 45 (118th Congress), California",737224,14517,210649,288137,18177,563100,66008,237263,102330,141297,231279,225846,06,45
"Congressional District 46 (118th Congress), California",746079,11701,167179,120678,13277,574859,90212,223860,121495,82210,218070,207724,06,46
"Congressional District 47 (118th Congress), California",754022,14144,391197,196625,23694,580436,61572,293327,60359,186986,290563,283241,06,47
"Congressional District 48 (118th Congress), California",740583,31414,421914,61000,46893,513157,56546,252575,111480,120347,248115,240732,06,48
"Congressional District 49 (118th Congress), California",751418,16975,463454,51434,36308,533086,52276,278593,78141,162663,274540,267382,06,49
"Congressional District 50 (118th Congress), California",781251,20264,436725,112723,32112,598030,72196,315685,63554,187803,311333,301558,06,50
"Congressional District 51 (118th Congress), California",748700,44715,358712,126285,43857,536023,83934,285034,84938,146629,278573,269880,06,51
"Congressional District 52 (118th Congress), California",740517,59382,153742,103044,38919,506029,80451,229551,111316,88670,221443,211607,06,52
"Congressional District 1 (118th Congress), Colorado",722087,59950,430130,27324,23689,569870,71493,346413,69875,181585,338854,321580,08,01
"Congressional District 2 (118th Congress), Colorado",721783,7902,568171,25534,31270,565309,72695,307366,65877,172082,303170,292208,08,02
"Congressional District 3 (118th Congress), Colorado",730686,6532,556974,6682,45437,540509,88094,316572,139658,115407,303488,288211,08,03
"Congressional District 4 (118th Congress), Colorado",767791,13637,602798,26596,44176,548492,50790,294319,98048,160198,288101,278796,08,04
"Congressional District 5 (118th Congress), Colorado",737347,44722,520143,23497,79673,450619,50525,296309,90022,129360,290894,283587,08,05
"Congressional District 6 (118th Congress), Colorado",730351,69672,424140,40657,34847,527584,76947,286407,92200,141640,281518,271194,08,06
"Congressional District 7 (118th Congress), Colorado",726989,9040,578487,23526,41074,557293,57411,310900,103719,170381,300925,290285,08,07
"Congressional District 8 (118th Congress), Colorado",740576,17333,455578,22939,32551,527668,68552,269975,139498,99453,264316,254000,08,08
"Congressional District 1 (118th Congress), Connecticut",716454,111082,432829,46451,24977,549281,76794,298957,131904,107072,282875,269742,09,01
"Congressional District 5 (118th Congress), Connecticut",722450,66267,448992,23778,23700,547195,84669,284649,133147,110426,271708,257207,09,05
"Congressional District 2 (118th Congress), Connecticut",730400,31213,579968,23143,41772,547534,61276,293459,148269,115290,283802,271801,09,02
"Congressional District 3 (118th Congress), Connecticut",726058,102851,450179,35307,24498,564111,77408,296504,150581,109461,283986,273036,09,03
"Congressional District 4 (118th Congress), Connecticut",721814,81618,421933,47339,16323,546734,61877,269400,89708,148997,260158,250377,09,04
"Congressional District (at Large) (118th Congress), Delaware",1031890,232161,612368,44464,61454,754206,106027,412048,208160,153565,398260,379321,10,00
"Delegate District (at Large) (118th Congress), District of Columbia",678972,277432,263399,28224,17445,530821,91068,334673,63274,129951,322682,305516,11,98
"Congressional District 1 (118th Congress), Florida",803679,101636,567726,22783,89785,509009,80482,313679,141550,115740,305668,294455,12,01
"Congressional District 2 (118th Congress), Florida",799012,173250,517191,17106,55062,585321,119773,324866,161582,106810,309290,289922,12,02
"Congressional District 3 (118th Congress), Florida",807523,116952,545716,25205,60574,596458,126180,324707,166622,89161,311788,288323,12,03
"Congressional District 4 (118th Congress), Florida",811996,245490,434919,23080,73997,543408,108824,319979,171095,107211,307845,288893,12,04
"Congressional District 5 (118th Congress), Florida",837211,94821,558712,51920,64731,580254,83899,345277,116561,175981,335441,326621,12,05
"Congressional District 6 (118th Congress), Florida",821498,94636,586178,12320,68321,606972,114931,348488,195762,106975,334910,319751,12,06
"Congressional District 7 (118th Congress), Florida",802027,78640,508779,30043,50339,592893,70212,317277,144151,142729,311183,297277,12,07
"Congressional District 8 (118th Congress), Florida",817216,76214,603440,19061,80013,592781,85901,332491,175522,124116,324037,308782,12,08
"Congressional District 9 (118th Congress), Florida",842005,91423,306803,37546,39244,614831,91483,306379,143540,139663,301209,286675,12,09
"Congressional District 10 (118th Congress), Florida",784303,201934,308307,37003,31559,595460,107866,305771,134045,123654,295821,281148,12,10
"Congressional District 11 (118th Congress), Florida",843676,105064,530571,30245,58541,624076,77721,332783,162577,162238,326704,314176,12,11
"Congressional District 12 (118th Congress), Florida",843806,35468,650184,17881,73581,616946,102444,339317,229609,100488,325979,311892,12,12
"Congressional District 13 (118th Congress), Florida",767679,52419,580303,29372,55922,598896,82124,346729,162394,136823,333689,315375,12,13
"Congressional District 14 (118th Congress), Florida",784928,123122,408717,29549,39718,597153,101251,340940,143075,150403,331067,320634,12,14
"Congressional District 15 (118th Congress), Florida",828431,136334,423515,46256,45749,588116,121257,306380,146859,116820,298559,283486,12,15
"Congressional District 16 (118th Congress), Florida",850603,92471,530240,28592,59042,615846,82702,340686,147359,139103,333614,320171,12,16
"Congressional District 17 (118th Congress), Florida",851634,43606,653129,13624,63277,658923,83841,367910,192103,136814,356635,342329,12,17
"Congressional District 18 (118th Congress), Florida",853391,107104,488697,15685,51000,622841,120027,323342,194009,86738,310401,287466,12,18
"Congressional District 19 (118th Congress), Florida",809197,59703,568123,14456,51770,640072,94327,341735,167111,142074,333844,315536,12,19
"Congressional District 20 (118th Congress), Florida",803297,402735,173826,18445,25262,603950,120399,292780,180910,95765,283097,266756,12,20
"Congressional District 21 (118th Congress), Florida",820276,112116,542434,15481,48861,623550,77804,334555,159752,136312,327019,310554,12,21
"Congressional District 22 (118th Congress), Florida",773713,130646,394791,22048,29046,602355,91196,306693,132895,145184,297755,278313,12,22
"Congressional District 23 (118th Congress), Florida",780374,95915,434054,32882,26561,605979,75224,329284,121018,151704,321364,306645,12,23
"Congressional District 24 (118th Congress), Florida",772726,309602,186836,12013,14691,580672,119436,291265,149378,111078,283348,261845,12,24
"Congressional District 25 (118th Congress), Florida",779002,124017,286522,38994,21516,598130,95074,290456,132398,138108,285888,270968,12,25
"Congressional District 26 (118th Congress), Florida",809482,43579,255575,9519,16780,644871,109147,285495,167011,125157,279058,263191,12,26
"Congressional District 27 (118th Congress), Florida",746930,45198,232902,16654,13315,599615,99646,301386,112751,136679,293149,275412,12,27
"Congressional District 28 (118th Congress), Florida",765111,68092,264644,12110,18800,588491,86348,255752,152518,106652,249266,239145,12,28
"Congressional District 1 (118th Congress), Georgia",799549,220793,464561,13758,64940,533225,116248,310498,155039,101747,299049,283951,13,01
"Congressional District 2 (118th Congress), Georgia",757219,378236,292141,12041,52330,512911,157539,300765,166154,61170,277122,250442,13,02
"Congressional District 3 (118th Congress), Georgia",793606,185091,506791,15447,54814,555152,99181,296637,160562,104245,283577,267798,13,03
"Congressional District 4 (118th Congress), Georgia",764506,400540,191660,45576,36096,548957,96565,287932,110535,125858,279917,272587,13,04
"Congressional District 5 (118th Congress), Georgia",774627,377808,280943,33295,27097,602107,122516,343861,90900,169239,334721,317621,13,05
"Congressional District 6 (118th Congress), Georgia",797492,70617,500122,106808,30336,576412,44786,287830,82880,196285,283289,276995,13,06
"Congressional District 7 (118th Congress), Georgia",778113,225175,228769,116169,22897,558100,93008,264810,113633,124445,260869,251968,13,07
"Congressional District 8 (118th Congress), Georgia",778270,226413,462653,10842,51802,535995,140370,298098,177136,69278,281428,260022,13,08
"Congressional District 9 (118th Congress), Georgia",810092,85024,527867,48009,40510,587303,86466,294336,154718,106691,283229,271270,13,09
"Congressional District 10 (118th Congress), Georgia",833978,204977,514536,20239,42065,601155,108559,304147,162590,100377,294027,279312,13,10
"Congressional District 11 (118th Congress), Georgia",791779,117343,507347,29909,41911,576873,64204,306504,115081,159692,301264,293558,13,11
"Congressional District 12 (118th Congress), Georgia",779898,285228,406910,14939,54388,536327,133380,285651,164700,76331,272042,248559,13,12
"Congressional District 13 (118th Congress), Georgia",773905,509083,122870,24289,44413,537754,92485,282731,129685,108053,275412,265305,13,13
"Congressional District 14 (118th Congress), Georgia",796193,110224,541702,8583,44599,565513,106010,286338,172174,82505,273504,256724,13,14
"Congressional District 1 (118th Congress), Hawaii",723269,13073,112774,353639,44542,509543,62610,256889,126427,132994,248970,236627,15,01
"Congressional District 2 (118th Congress), Hawaii",711869,11028,201760,173045,37760,502725,79315,237009,143042,104234,229305,218652,15,02
"Congressional District 1 (118th Congress), Idaho",1008961,7404,830248,13610,64352,704552,94453,374457,189667,140839,362971,346016,16,01
"Congressional District 2 (118th Congress), Idaho",955765,9267,774900,13307,48858,675521,99182,358787,148949,140960,349793,330562,16,02
"Congressional District 1 (118th Congress), Illinois",751575,358230,278207,15755,22701,552404,113442,298665,143987,90656,283871,266206,17,01
"Congressional District 2 (118th Congress), Illinois",720502,327303,261527,7580,29965,517714,123510,291541,160481,72657,274683,256900,17,02
"Congressional District 3 (118th Congress), Illinois",720148,37826,327887,51992,14092,553021,88419,275205,118409,123873,265304,250962,17,03
"Congressional District 4 (118th Congress), Illinois",704764,38477,219559,31735,14374,533008,88784,247835,136212,71868,235989,224416,17,04
"Congressional District 5 (118th Congress), Illinois",754102,23976,538787,78009,15427,593996,53917,346882,65505,213238,338850,321439,17,05
"Congressional District 9 (118th Congress), Illinois",742949,62256,443844,110619,15546,583145,81134,312197,84661,170353,304549,290108,17,09
"Congressional District 6 (118th Congress), Illinois",725829,39913,536193,41518,23684,550734,53319,298572,117092,143163,286750,276808,17,06
"Congressional District 7 (118th Congress), Illinois",732352,285608,243437,68917,16436,588379,119314,334019,98152,139727,319971,293692,17,07
"Congressional District 8 (118th Congress), Illinois",730604,33338,402326,97118,18542,552196,55852,280622,123768,134219,271997,262983,17,08
"Congressional District 10 (118th Congress), Illinois",746076,44659,444572,63886,27263,533312,60547,273906,103237,130047,266746,258054,17,10
"Congressional District 11 (118th Congress), Illinois",761048,41829,492294,67356,24300,559345,53885,283965,110002,144499,277481,267896,17,11
"Congressional District 12 (118th Congress), Illinois",749426,40221,655250,6392,49224,536059,99447,306758,163088,74946,284590,264181,17,12
"Congressional District 13 (118th Congress), Illinois",725183,137911,483457,29995,40630,539183,111670,319582,145093,94005,305438,289675,17,13
"Congressional District 14 (118th Congress), Illinois",755370,71993,455192,44783,27642,552054,62947,270841,134665,106640,262921,251337,17,14
"Congressional District 15 (118th Congress), Illinois",745893,18635,677558,7014,46481,537451,79106,307990,183771,91017,291624,273725,17,15
"Congressional District 16 (118th Congress), Illinois",755171,17300,646243,19494,38295,545325,57174,304873,155204,106583,293164,276048,17,16
"Congressional District 17 (118th Congress), Illinois",728697,92484,511416,14498,34967,538714,124050,317835,160688,75990,301233,276923,17,17
"Congressional District 1 (118th Congress), Indiana",757933,130766,479327,12087,34319,552625,98991,299216,181682,95365,285738,271767,18,01
"Congressional District 2 (118th Congress), Indiana",750086,46939,578649,12099,30688,539185,92768,289782,174457,79179,272339,257108,18,02
"Congressional District 3 (118th Congress), Indiana",764836,41572,621759,21824,33669,540287,94037,304608,164887,87259,284620,267619,18,03
"Congressional District 4 (118th Congress), Indiana",778072,34933,639531,26560,36776,563564,74251,303287,159223,99082,292169,276290,18,04
"Congressional District 5 (118th Congress), Indiana",781999,38126,644386,30252,37684,564896,80116,309140,135459,137685,299193,283325,18,05
"Congressional District 6 (118th Congress), Indiana",764477,44845,607394,39758,32315,541001,89322,297342,169035,92392,285681,273165,18,06
"Congressional District 7 (118th Congress), Indiana",747195,235571,352508,16796,31879,539852,109041,325162,127737,120354,313224,295946,18,07
"Congressional District 8 (118th Congress), Indiana",756642,25966,667785,7782,39968,553068,100314,311500,193060,81662,290981,270205,18,08
"Congressional District 9 (118th Congress), Indiana",760959,16705,669367,15391,40989,561903,82561,314844,178499,89333,297817,278621,18,09
"Congressional District 1 (118th Congress), Iowa",798244,32699,678461,16406,41551,583167,89900,334808,163907,113067,321224,301821,19,01
"Congressional District 2 (118th Congress), Iowa",791219,33282,689729,11636,41431,575195,77696,334713,176746,107947,319049,299003,19,02
"Congressional District 3 (118th Congress), Iowa",821239,44462,660816,32097,37252,585202,92000,338434,142616,135374,325038,305510,19,03
"Congressional District 4 (118th Congress), Iowa",796302,18438,672307,15667,40203,575692,91628,329288,165341,96326,312324,284967,19,04
"Congressional District 1 (118th Congress), Kansas",726249,21471,568186,12480,33440,525860,90058,296099,119353,91769,283473,265276,20,01
"Congressional District 2 (118th Congress), Kansas",725930,50352,539541,14217,45753,499743,86875,294366,148250,83929,276556,260076,20,02
"Congressional District 3 (118th Congress), Kansas",749221,39380,577717,27805,28249,543848,51038,301039,90325,164609,292717,281586,20,03
"Congressional District 4 (118th Congress), Kansas",739147,45839,546490,22746,36280,518512,91681,296836,132727,98658,285381,270731,20,04
"Congressional District 1 (118th Congress), Kentucky",750693,46624,640577,4188,37522,538444,118223,308246,196897,65572,286366,264846,21,01
"Congressional District 2 (118th Congress), Kentucky",775707,43492,655314,12222,44472,549934,111225,309350,186519,72772,292765,279216,21,02
"Congressional District 3 (118th Congress), Kentucky",733409,153631,460195,21355,34633,535475,119299,317177,137125,107742,303724,288357,21,03
"Congressional District 4 (118th Congress), Kentucky",768776,24993,672575,7434,35903,552346,85540,297948,168013,102139,286007,271933,21,04
"Congressional District 5 (118th Congress), Kentucky",738681,11664,693249,3000,30189,545971,180673,304892,202387,44271,282034,261470,21,05
"Congressional District 6 (118th Congress), Kentucky",758888,57478,613932,16124,33948,559684,105682,315990,135436,114360,303815,284730,21,06
"Congressional District 1 (118th Congress), Louisiana",770713,98428,523826,17109,33065,558829,93845,308455,142880,112047,295062,281799,22,01
"Congressional District 2 (118th Congress), Louisiana",742904,436861,200225,18030,27541,552761,170660,305373,153697,86745,288655,268856,22,02
"Congressional District 3 (118th Congress), Louisiana",762638,172761,499235,11853,31819,541980,142927,302888,192684,87251,284990,267230,22,03
"Congressional District 4 (118th Congress), Louisiana",757390,257626,428398,7909,46561,522118,148499,316587,192517,66840,296231,255189,22,04
"Congressional District 5 (118th Congress), Louisiana",754781,246010,446617,6119,32914,547931,165363,296763,186742,67917,273572,240617,22,05
"Congressional District 6 (118th Congress), Louisiana",785323,173469,495777,19123,31131,565443,118852,303849,157781,104791,293046,280600,22,06
"Congressional District 1 (118th Congress), Maine",700340,13431,621698,9542,42595,535153,52932,306842,127827,149601,296870,285432,23,01
"Congressional District 2 (118th Congress), Maine",695382,11369,635792,6336,48897,521852,87528,309243,177407,92053,294337,277072,23,02
"Congressional District 1 (118th Congress), Maryland",782957,116446,568571,19382,45032,571918,74913,309498,164142,112870,297150,275781,24,01
"Congressional District 2 (118th Congress), Maryland",767891,180570,462465,44914,32974,569880,65784,299975,119628,131506,290153,276208,24,02
"Congressional District 3 (118th Congress), Maryland",778152,125636,447780,86642,47679,545108,47239,292042,103936,143977,286708,276461,24,03
"Congressional District 4 (118th Congress), Maryland",723299,389446,83207,34509,30794,534913,91672,273628,134726,94625,267278,250953,24,04
"Congressional District 5 (118th Congress), Maryland",812172,345346,341748,23424,68221,541169,41873,293067,140268,123700,287257,279924,24,05
"Congressional District 6 (118th Congress), Maryland",799719,97791,480232,72743,41213,579468,66370,299641,143585,121311,288951,277685,24,06
"Congressional District 7 (118th Congress), Maryland",744512,410382,223413,22632,25945,558726,132146,327967,153404,92835,311867,287296,24,07
"Congressional District 8 (118th Congress), Maryland",771551,138017,350014,104976,26292,567529,54163,288897,65690,143240,284184,275659,24,08
"Congressional District 1 (118th Congress), Massachusetts",767012,47495,554663,16029,35856,586170,108012,318200,175259,99661,301629,286083,25,01
"Congressional District 2 (118th Congress), Massachusetts",798884,35671,571077,60051,25054,616884,90138,308285,124159,137383,300015,290582,25,02
"Congressional District 3 (118th Congress), Massachusetts",767022,38514,466145,66319,25369,580785,70128,289025,139212,125163,276482,264835,25,03
"Congressional District 4 (118th Congress), Massachusetts",783039,30656,595417,56435,23185,592845,71479,306357,113412,134423,296613,288176,25,04
"Congressional District 5 (118th Congress), Massachusetts",776923,43449,497931,100173,18165,601946,59199,308733,93976,156435,300422,291698,25,05
"Congressional District 6 (118th Congress), Massachusetts",785015,28248,603373,35574,26034,600141,56687,303358,130005,155082,291545,282348,25,06
"Congressional District 1 (118th Congress), Michigan",786329,8204,705951,3328,54418,593434,101040,357025,183824,107583,335629,312249,26,01
"Congressional District 7 (118th Congress), Massachusetts",744098,160157,298029,85040,12548,613435,109001,310480,101847,132986,298291,285274,25,07
"Congressional District 8 (118th Congress), Massachusetts",791775,85008,510642,85366,28272,625717,74527,330944,108892,177586,319008,309646,25,08
"Congressional District 9 (118th Congress), Massachusetts",787631,23389,653690,10626,39583,599449,67559,325602,148247,143128,314373,305441,25,09
"Congressional District 2 (118th Congress), Michigan",791423,14053,701667,5415,44240,578359,105827,311959,189374,85426,294658,270364,26,02
"Congressional District 3 (118th Congress), Michigan",771917,86849,554461,22034,26999,572574,90901,304416,120937,134464,296038,282578,26,03
"Congressional District 4 (118th Congress), Michigan",777277,58167,600393,19242,31875,571733,91450,311929,144500,112924,299043,284090,26,04
"Congressional District 5 (118th Congress), Michigan",775722,30817,665958,6573,40701,568958,92629,311523,186563,83278,295245,279856,26,05
"Congressional District 6 (118th Congress), Michigan",764009,73408,536366,81880,26178,587316,75281,306970,92443,141263,298926,287708,26,06
"Congressional District 7 (118th Congress), Michigan",781761,43622,637908,29625,36283,587184,80427,314396,125733,118955,304310,288334,26,07
"Congressional District 8 (118th Congress), Michigan",766628,116049,589551,7870,36813,566593,121835,317533,177332,82099,302520,281991,26,08
"Congressional District 9 (118th Congress), Michigan",769261,20427,684510,11519,36027,573212,71923,307505,167089,104333,295542,282948,26,09
"Congressional District 10 (118th Congress), Michigan",769945,104101,550889,51258,27810,586230,83277,322807,151001,105152,310429,301047,26,10
"Congressional District 11 (118th Congress), Michigan",769154,101641,525908,66574,27663,591922,67194,334882,98849,165025,328331,316031,26,11
"Congressional District 12 (118th Congress), Michigan",740559,319103,355438,13936,26533,549354,147572,299021,147179,83284,285718,272163,26,12
"Congressional District 13 (118th Congress), Michigan",773276,344169,296801,21113,25899,552949,197384,307843,157098,71400,289962,266945,26,13
"Congressional District 1 (118th Congress), Minnesota",713000,28149,590545,22055,32216,522930,70127,286875,135532,102495,272932,254960,27,01
"Congressional District 2 (118th Congress), Minnesota",733289,55413,550310,40015,30349,526023,41059,279973,103980,141300,271993,263425,27,02
"Congressional District 3 (118th Congress), Minnesota",699786,72035,494677,61853,27677,509453,50814,286983,88523,162106,279853,270213,27,03
"Congressional District 4 (118th Congress), Minnesota",699739,75599,444756,95555,25675,513361,69254,290555,86910,142757,282548,272091,27,04
"Congressional District 5 (118th Congress), Minnesota",702050,118780,437170,37569,23356,541616,84804,317534,79132,161302,309859,290438,27,05
"Congressional District 6 (118th Congress), Minnesota",747036,44513,614139,24463,31224,526253,52175,272069,117607,126440,264855,255221,27,06
"Congressional District 7 (118th Congress), Minnesota",715239,8433,632487,8407,36417,514629,75032,302017,158036,90513,285028,267502,27,07
"Congressional District 8 (118th Congress), Minnesota",727776,10005,635118,8505,44101,535358,77337,308426,149958,95760,293057,273014,27,08
"Congressional District 1 (118th Congress), Mississippi",745641,201709,473560,5958,36822,534272,104109,288344,147645,76666,268928,249396,28,01
"Congressional District 2 (118th Congress), Mississippi",701580,438722,223113,4175,30842,508986,167370,283640,147125,61749,257971,225373,28,02
"Congressional District 3 (118th Congress), Mississippi",740675,246188,431826,8200,35947,532042,124685,292994,133555,84163,277299,252036,28,03
"Congressional District 4 (118th Congress), Mississippi",751794,160726,506745,9516,52491,520629,116020,301639,153982,84637,290124,268383,28,04
"Congressional District 1 (118th Congress), Missouri",741792,328051,320997,26949,32345,555293,117623,351004,125237,113378,336904,320685,29,01
"Congressional District 2 (118th Congress), Missouri",764420,28303,637233,35246,34987,561499,44877,310465,106012,161451,301578,290935,29,02
"Congressional District 3 (118th Congress), Missouri",781181,35663,664044,18213,42934,576226,77455,311286,151954,116581,300309,283999,29,03
"Congressional District 4 (118th Congress), Missouri",788949,36907,677520,6814,54344,541349,96250,309138,174692,87004,293325,273501,29,04
"Congressional District 5 (118th Congress), Missouri",760843,167905,465198,15480,36837,554140,92240,334885,138781,119290,322731,305887,29,05
"Congressional District 6 (118th Congress), Missouri",785446,29874,684726,8874,44701,559388,77334,304437,188222,93854,288038,267330,29,06
"Congressional District 7 (118th Congress), Missouri",790923,13086,679174,10698,45899,567121,106119,327065,168650,91041,311053,284529,29,07
"Congressional District 8 (118th Congress), Missouri",782602,29020,689275,6056,49144,553329,108312,307991,197066,77668,288997,270655,29,08
"Congressional District 1 (118th Congress), Montana",576553,1971,495286,5011,38718,425646,65197,240476,100760,98854,230723,218163,30,01
